id,name,slug,code,longcode,gateway,pay_with_bank,active,country,currency,type,is_deleted,createdAt,updatedAt
186,Tangerine Money,tangerine-money,51269,,,False,True,Nigeria,NGN,nuban,False,2021-09-17T13:25:16.000Z,2021-09-17T13:25:16.000Z
75,TCF MFB,tcf-mfb,51211,,,False,True,Nigeria,NGN,nuban,False,2020-04-03T09:34:35.000Z,2020-04-03T09:34:35.000Z
73,Titan Bank,titan-bank,102,,,False,True,Nigeria,NGN,nuban,False,2020-03-10T11:41:36.000Z,2020-03-23T15:06:29.000Z
690,U&C Microfinance Bank Ltd (U AND C MFB),uc-microfinance-bank-ltd-u-and-c-mfb-ng,50840,50840,,False,True,Nigeria,NGN,nuban,False,2023-03-27T16:55:53.000Z,2023-03-27T16:55:53.000Z
630,Uhuru MFB,uhuru-mfb-ng,51322,,,False,True,Nigeria,NGN,nuban,False,2022-09-14T12:58:20.000Z,2023-09-05T17:23:38.000Z
678,Unaab Microfinance Bank Limited,unaab-microfinance-bank-limited-ng,50870,,,False,True,Nigeria,NGN,nuban,False,2022-11-24T13:47:10.000Z,2022-11-24T13:49:16.000Z
282,Unical MFB,unical-mfb,50871,,,False,True,Nigeria,NGN,nuban,False,2022-01-10T09:52:47.000Z,2022-01-10T09:52:47.000Z
638,Unilag Microfinance Bank,unilag-microfinance-bank-ng,51316,,,False,True,Nigeria,NGN,nuban,False,2022-11-07T07:41:50.000Z,2022-11-07T07:41:50.000Z
17,Union Bank of Nigeria,union-bank-of-nigeria,032,032080474,emandate,False,True,Nigeria,NGN,nuban,False,2016-07-14T10:04:29.000Z,2020-02-18T20:22:54.000Z
18,United Bank For Africa,united-bank-for-africa,033,033153513,emandate,False,True,Nigeria,NGN,nuban,False,2016-07-14T10:04:29.000Z,2022-03-09T10:28:57.000Z
19,Unity Bank,unity-bank,215,215154097,emandate,False,True,Nigeria,NGN,nuban,False,2016-07-14T10:04:29.000Z,2019-07-22T12:44:02.000Z
737,Uzondu Microfinance Bank Awka Anambra State,uzondu-microfinance-bank-awka-anambra-state-ng,50894,50894,,False,True,Nigeria,NGN,nuban,False,2023-10-31T13:19:39.000Z,2023-10-31T13:19:39.000Z
725,Vale Finance Limited,vale-finance,050020,,emandate,False,True,Nigeria,NGN,nuban,False,2023-10-26T14:23:46.000Z,2023-10-26T14:23:46.000Z
71,VFD Microfinance Bank Limited,vfd,566,,,False,True,Nigeria,NGN,nuban,False,2020-02-11T15:44:11.000Z,2020-10-28T09:42:08.000Z
701,Waya Microfinance Bank,waya-microfinance-bank-ng,51355,51355,,False,True,Nigeria,NGN,nuban,False,2023-05-31T15:50:49.000Z,2023-05-31T15:50:49.000Z
20,Wema Bank,wema-bank,035,035150103,,False,True,Nigeria,NGN,nuban,False,2016-07-14T10:04:29.000Z,2021-02-09T17:49:59.000Z
21,Zenith Bank,zenith-bank,057,057150013,emandate,False,True,Nigeria,NGN,nuban,False,2016-07-14T10:04:29.000Z,2023-09-26T17:09:43.000Z
